"Participant.ID","class_number","Foundational","PopEco","Quant","group_5","group_3","group_4","metric","time","score","time_numeric","student_id"
"133752",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",4.08333333333333,1,"133752"
"14dbf9be",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","pre",4,0,"14dbf9be"
"14dbf9be",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","post",4,1,"14dbf9be"
"14dbf9be",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","pre",3,0,"14dbf9be"
"14dbf9be",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","post",3,1,"14dbf9be"
"14dbf9be",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","pre",3.08333333333333,0,"14dbf9be"
"14dbf9be",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","post",3.08333333333333,1,"14dbf9be"
"14dbf9be",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","pre",3.5,0,"14dbf9be"
"14dbf9be",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","post",4.5,1,"14dbf9be"
"14dbf9be",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","pre",1.625,0,"14dbf9be"
"14dbf9be",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","post",3.125,1,"14dbf9be"
"14dbf9be",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","pre",1.58333333333333,0,"14dbf9be"
"14dbf9be",2,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","post",3.91666666666667,1,"14dbf9be"
"1eeb4ea7",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","pre",4,0,"1eeb4ea7"
"1eeb4ea7",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","post",4.5,1,"1eeb4ea7"
"1eeb4ea7",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","pre",2.5,0,"1eeb4ea7"
"1eeb4ea7",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","post",3.875,1,"1eeb4ea7"
"1eeb4ea7",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","pre",2.91666666666667,0,"1eeb4ea7"
"1eeb4ea7",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","post",3.75,1,"1eeb4ea7"
"22192819",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","pre",2,0,"22192819"
"22192819",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","post",3.5,1,"22192819"
